2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Metrics scheduler closed
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.metrics.JmxReporter
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Metrics reporters closed
2024-11-03 21:51:07 INFO  o.a.kafka.common.utils.AppInfoParser - App info kafka.consumer for consumer-transaction-group-2 unregistered
2024-11-03 21:51:07 INFO  o.s.k.l.KafkaMessageListenerContainer - transaction-group: Consumer stopped
2024-11-03 21:51:07 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-7635"]
2024-11-03 21:51:07 INFO  o.a.k.clients.producer.KafkaProducer - [Producer clientId=middleman-producer-1] Closing the Kafka producer with timeoutMillis = 30000 ms.
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Metrics scheduler closed
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.metrics.JmxReporter
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
2024-11-03 21:51:07 INFO  o.a.kafka.common.metrics.Metrics - Metrics reporters closed
2024-11-03 21:51:07 INFO  o.a.kafka.common.utils.AppInfoParser - App info kafka.producer for middleman-producer-1 unregistered
2024-11-03 21:51:07 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-03 21:51:07 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2024-11-03 21:51:07 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
